process_order,repetition_order,repetition,layout,cache_bytes,read_ahead_frames,offset_read_ms,offset_file_reads,offset_file_bytes,offset_retained_bytes,peak_rss_bytes_after_offsets
0,0,000,regular,134217728,0,143.044583,10,1243457,9504008,42287104
1,1,000,hybrid,0,0,56.667875,4,1243721,9504008,35356672
2,2,000,hybrid,0,350,31.253541,4,1243721,9504008,33046528
3,3,000,hybrid,0,700,16.520334,4,1243721,9504008,34078720
4,4,000,hybrid,16777216,0,31.294416,4,1243721,9504008,42631168
5,5,000,hybrid,16777216,350,26.950208,4,1243721,9504008,41467904
6,6,000,hybrid,16777216,700,26.599458,4,1243721,9504008,42500096
7,7,000,hybrid,33554432,0,18.379583,4,1243721,9504008,42647552
8,8,000,hybrid,33554432,350,73.468583,4,1243721,9504008,42614784
9,9,000,hybrid,33554432,700,83.59075,4,1243721,9504008,41598976
10,10,000,hybrid,67108864,0,15.39,4,1243721,9504008,42598400
11,11,000,hybrid,67108864,350,35.479917,4,1243721,9504008,42532864
12,12,000,hybrid,67108864,700,21.188333,4,1243721,9504008,42532864
13,13,000,hybrid,134217728,0,30.7445,4,1243721,9504008,41549824
14,14,000,hybrid,134217728,350,18.283,4,1243721,9504008,42647552
15,15,000,hybrid,134217728,700,39.109542,4,1243721,9504008,42565632
16,0,001,hybrid,0,700,143.336083,4,1243721,9504008,35241984
17,1,001,hybrid,0,350,20.6525,4,1243721,9504008,34095104
18,2,001,hybrid,0,0,20.408834,4,1243721,9504008,34095104
19,3,001,hybrid,134217728,700,47.352833,4,1243721,9504008,42500096
20,4,001,hybrid,134217728,350,17.464292,4,1243721,9504008,42631168
21,5,001,regular,134217728,0,146.082416,10,1243457,9504008,42188800
22,6,001,hybrid,134217728,0,96.890208,4,1243721,9504008,42614784
23,7,001,hybrid,67108864,700,22.796625,4,1243721,9504008,42532864
24,8,001,hybrid,67108864,350,21.97325,4,1243721,9504008,42647552
25,9,001,hybrid,67108864,0,21.957833,4,1243721,9504008,42680320
26,10,001,hybrid,33554432,700,33.278583,4,1243721,9504008,42582016
27,11,001,hybrid,33554432,350,79.434875,4,1243721,9504008,42582016
28,12,001,hybrid,33554432,0,20.334833,4,1243721,9504008,42549248
29,13,001,hybrid,16777216,700,27.335,4,1243721,9504008,42598400
30,14,001,hybrid,16777216,350,70.364667,4,1243721,9504008,41582592
31,15,001,hybrid,16777216,0,66.46175,4,1243721,9504008,42647552
32,0,002,hybrid,33554432,0,129.816667,4,1243721,9504008,41648128
33,1,002,hybrid,33554432,350,62.126167,4,1243721,9504008,42598400
34,2,002,hybrid,33554432,700,20.501875,4,1243721,9504008,42516480
35,3,002,hybrid,67108864,0,35.122584,4,1243721,9504008,42582016
36,4,002,hybrid,67108864,350,17.423083,4,1243721,9504008,42680320
37,5,002,hybrid,67108864,700,21.128958,4,1243721,9504008,42663936
