process_order,repetition_order,repetition,layout,cache_bytes,cache_mib,read_ahead_frames,read_ahead_seconds,direction,direction_order_index,deadline_miss_rate,post_warmup_deadline_miss_rate,presentation_misses,page_read_p95_ms,queue_delay_p95_ms,late_completion_p95_ms,file_reads,file_bytes,tensorstore_cache_hits,tensorstore_cache_misses,tensorstore_cache_evictions,peak_concurrent_field_reads,scheduler_promotions,scheduler_cancellations,speculative_pages,useful_speculative_pages,useful_speculative_ratio,presentation_cache_evictions,presentation_cache_peak_bytes,peak_rss_bytes
0,0,000,regular,134217728,128.0,0,0.0,forward,0,0.0,0.0,0,1.541875,0.556458,0.0,3,603167,147,3,0,3,0,0,0,0,0.0,18,53760,45907968
0,0,000,regular,134217728,128.0,0,0.0,reverse,1,0.0,0.0,0,1.119208,0.165708,0.0,0,0,150,0,0,3,0,0,0,0,0.0,18,53760,45924352
1,1,000,hybrid,0,0.0,0,0.0,forward,0,0.0,0.0,0,18.259708,0.14125,0.0,250,3826500,0,450,0,3,0,0,0,0,0.0,18,53760,36913152
1,1,000,hybrid,0,0.0,0,0.0,reverse,1,0.0,0.0,0,2.435917,0.110709,0.0,250,3826500,0,450,0,3,0,0,0,0,0.0,18,53760,36978688
2,2,000,hybrid,0,0.0,350,0.5,forward,0,0.0,0.0,0,2.382833,0.588875,0.0,250,3826500,0,450,0,3,0,0,48,48,1.0,18,53760,34390016
2,2,000,hybrid,0,0.0,350,0.5,reverse,1,0.0,0.0,0,12.217208,3.131834,0.0,250,3826500,0,450,0,3,0,0,48,48,1.0,18,53760,34439168
3,3,000,hybrid,0,0.0,700,1.0,forward,0,0.0,0.0,0,4.054834,1.872834,0.0,250,3826500,0,450,0,3,0,0,48,48,1.0,18,53760,35504128
3,3,000,hybrid,0,0.0,700,1.0,reverse,1,0.0,0.0,0,1.965958,7.404291,0.0,250,3826500,0,450,0,3,0,0,48,48,1.0,18,53760,35553280
4,4,000,hybrid,16777216,16.0,0,0.0,forward,0,0.0,0.0,0,0.752542,0.098333,0.0,5,76530,294,9,0,3,0,0,0,0,0.0,18,53760,43532288
4,4,000,hybrid,16777216,16.0,0,0.0,reverse,1,0.0,0.0,0,0.93375,0.129833,0.0,0,0,300,0,0,3,0,0,0,0,0.0,18,53760,43548672
5,5,000,hybrid,16777216,16.0,350,0.5,forward,0,0.0,0.0,0,1.746292,0.288875,0.0,5,76530,294,9,0,3,0,0,48,48,1.0,18,53760,42450944
5,5,000,hybrid,16777216,16.0,350,0.5,reverse,1,0.0,0.0,0,1.008834,0.598125,0.0,0,0,300,0,0,3,0,0,48,48,1.0,18,53760,42450944
6,6,000,hybrid,16777216,16.0,700,1.0,forward,0,0.0,0.0,0,1.167916,0.51225,0.0,5,76530,294,9,0,3,0,0,48,48,1.0,18,53760,43630592
6,6,000,hybrid,16777216,16.0,700,1.0,reverse,1,0.0,0.0,0,0.604334,1.690667,0.0,0,0,300,0,0,3,0,0,48,48,1.0,18,53760,43696128
7,7,000,hybrid,33554432,32.0,0,0.0,forward,0,0.0,0.0,0,1.060084,0.166792,0.0,5,76530,294,9,0,3,0,0,0,0,0.0,18,53760,43696128
7,7,000,hybrid,33554432,32.0,0,0.0,reverse,1,0.0,0.0,0,1.321375,0.101875,0.0,0,0,300,0,0,3,0,0,0,0,0.0,18,53760,43712512
8,8,000,hybrid,33554432,32.0,350,0.5,forward,0,0.0,0.0,0,1.305459,0.166125,0.0,5,76530,294,9,0,3,0,0,48,48,1.0,18,53760,43778048
8,8,000,hybrid,33554432,32.0,350,0.5,reverse,1,0.0,0.0,0,0.571667,0.518791,0.0,0,0,300,0,0,3,0,0,48,48,1.0,18,53760,43843584
