process_order,repetition_order,repetition,layout,cache_bytes,cache_mib,read_ahead_frames,read_ahead_seconds,seek_count,cancellation_p95_ms,post_cancel_file_bytes_p95,post_cancel_file_bytes_total,discarded_after_read,stale_publications,peak_rss_bytes
0,0,000,regular,134217728,128.0,0,0.0,8,146.894,598041.0,2390498.0,8,0,57458688
1,1,000,hybrid,0,0.0,0,0.0,8,25.895667,79828.0,509638.0,8,0,37109760
2,2,000,hybrid,0,0.0,350,0.5,8,30.143083,79828.0,509638.0,8,0,34635776
3,3,000,hybrid,0,0.0,700,1.0,8,54.784708,79828.0,509638.0,8,0,35749888
4,4,000,hybrid,16777216,16.0,0,0.0,8,75.590417,78204.0,498702.0,8,0,44859392
5,5,000,hybrid,16777216,16.0,350,0.5,8,34.199917,78204.0,498702.0,8,0,42450944
6,6,000,hybrid,16777216,16.0,700,1.0,8,123.634625,78204.0,498702.0,8,0,46137344
7,7,000,hybrid,33554432,32.0,0,0.0,8,79.09125,78204.0,498702.0,8,0,46039040
8,8,000,hybrid,33554432,32.0,350,0.5,8,112.02225,78204.0,498702.0,8,0,45088768
9,9,000,hybrid,33554432,32.0,700,1.0,8,139.737833,78204.0,498702.0,8,0,45088768
10,10,000,hybrid,67108864,64.0,0,0.0,8,32.068708,78204.0,498702.0,8,0,44974080
11,11,000,hybrid,67108864,64.0,350,0.5,8,66.036583,78204.0,498702.0,8,0,45760512
12,12,000,hybrid,67108864,64.0,700,1.0,8,28.619584,78204.0,498702.0,8,0,45989888
13,13,000,hybrid,134217728,128.0,0,0.0,8,132.974458,78204.0,498702.0,8,0,44974080
14,14,000,hybrid,134217728,128.0,350,0.5,8,25.35225,78204.0,498702.0,8,0,46104576
15,15,000,hybrid,134217728,128.0,700,1.0,8,62.744459,78204.0,498702.0,8,0,45842432
16,0,001,hybrid,0,0.0,700,1.0,8,190.547958,79828.0,509638.0,8,0,37011456
17,1,001,hybrid,0,0.0,350,0.5,8,68.702208,79828.0,509638.0,8,0,35995648
18,2,001,hybrid,0,0.0,0,0.0,8,16.122459,79828.0,509638.0,8,0,35913728
19,3,001,hybrid,134217728,128.0,700,1.0,8,82.306042,78204.0,498702.0,8,0,44826624
20,4,001,hybrid,134217728,128.0,350,0.5,8,125.636333,78204.0,498702.0,8,0,46088192
21,5,001,regular,134217728,128.0,0,0.0,8,156.199333,598041.0,2390498.0,8,0,56836096
22,6,001,hybrid,134217728,128.0,0,0.0,8,96.608208,78204.0,498702.0,8,0,45072384
23,7,001,hybrid,67108864,64.0,700,1.0,8,117.298625,78204.0,498702.0,8,0,45809664
24,8,001,hybrid,67108864,64.0,350,0.5,8,28.703416,78204.0,498702.0,8,0,46104576
25,9,001,hybrid,67108864,64.0,0,0.0,8,37.634916,78204.0,498702.0,8,0,46170112
26,10,001,hybrid,33554432,32.0,700,1.0,8,107.880625,78204.0,498702.0,8,0,43794432
27,11,001,hybrid,33554432,32.0,350,0.5,8,124.595416,78204.0,498702.0,8,0,45744128
28,12,001,hybrid,33554432,32.0,0,0.0,8,40.278083,78204.0,498702.0,8,0,45989888
29,13,001,hybrid,16777216,16.0,700,1.0,8,243.40775,78204.0,498702.0,8,0,46137344
30,14,001,hybrid,16777216,16.0,350,0.5,8,224.245709,78204.0,498702.0,8,0,45039616
31,15,001,hybrid,16777216,16.0,0,0.0,8,159.358416,78204.0,498702.0,8,0,46235648
32,0,002,hybrid,33554432,32.0,0,0.0,8,261.886917,78204.0,498702.0,8,0,44908544
33,1,002,hybrid,33554432,32.0,350,0.5,8,28.980292,78204.0,498702.0,8,0,45006848
34,2,002,hybrid,33554432,32.0,700,1.0,8,159.083042,78204.0,498702.0,8,0,46006272
35,3,002,hybrid,67108864,64.0,0,0.0,8,44.476166,78204.0,498702.0,8,0,45826048
36,4,002,hybrid,67108864,64.0,350,0.5,8,31.640792,78204.0,498702.0,8,0,46153728
37,5,002,hybrid,67108864,64.0,700,1.0,8,30.070834,78204.0,498702.0,8,0,46104576
38,6,002,hybrid,134217728,128.0,0,0.0,8,162.191542,78204.0,498702.0,8,0,46120960
39,7,002,hybrid,134217728,128.0,350,0.5,8,87.195,78204.0,498702.0,8,0,44957696
40,8,002,hybrid,134217728,128.0,700,1.0,8,31.54825,78204.0,498702.0,8,0,44974080
41,9,002,hybrid,0,0.0,0,0.0,8,52.922583,79828.0,509638.0,8,0,35782656
42,10,002,regular,134217728,128.0,0,0.0,8,213.906833,598041.0,2390498.0,8,0,57278464
43,11,002,hybrid,0,0.0,350,0.5,8,29.30125,79828.0,509638.0,8,0,38223872
44,12,002,hybrid,0,0.0,700,1.0,8,53.897,79828.0,509638.0,8,0,36798464
45,13,002,hybrid,16777216,16.0,0,0.0,8,137.781584,78204.0,498702.0,8,0,46039040
46,14,002,hybrid,16777216,16.0,350,0.5,8,68.315,78204.0,498702.0,8,0,44957696
47,15,002,hybrid,16777216,16.0,700,1.0,8,40.437708,78204.0,498702.0,8,0,45154304
48,0,003,hybrid,33554432,32.0,700,1.0,8,85.953667,78204.0,498702.0,8,0,45072384
49,1,003,hybrid,33554432,32.0,350,0.5,8,165.906416,78204.0,498702.0,8,0,45088768
50,2,003,hybrid,33554432,32.0,0,0.0,8,57.003709,78204.0,498702.0,8,0,45842432
