repetition,cache_bytes,cache_mib,layout,mode,schema_version,consolidated_root_read_ms,consolidated_root_file_reads,consolidated_root_file_bytes,exact_array_open_ms,typed_open_attempts,fallback_open_attempts,exact_open_file_reads,exact_open_file_bytes,offset_read_calls,offset_read_ms,offset_total_ms,offset_logical_bytes,offset_retained_bytes,offset_file_reads,offset_file_bytes,offset_cache_hits,offset_cache_misses,offset_value_digest,offset_read_calls_final
000,0,0.0,regular,full,2,38.370416,1,44531,1.143958,9,0,0,0,1,94.711916,105.704083,9504008,9504008,10,1243457,0,10,674b5953d818f69737696a560f472bb635c9f14379a93b8c92da59288bb32aac,1
000,0,0.0,hybrid,full,2,77.054208,1,51412,3.064125,9,0,0,0,1,132.857958,145.479917,9504008,9504008,4,1243721,0,13,674b5953d818f69737696a560f472bb635c9f14379a93b8c92da59288bb32aac,1
000,134217728,128.0,hybrid,full,2,15.021375,1,51412,0.616709,9,0,0,0,1,71.645417,78.581042,9504008,9504008,4,1243721,0,13,674b5953d818f69737696a560f472bb635c9f14379a93b8c92da59288bb32aac,1
000,134217728,128.0,regular,full,2,63.579208,1,44531,0.787042,9,0,0,0,1,267.858291,279.805375,9504008,9504008,10,1243457,0,10,674b5953d818f69737696a560f472bb635c9f14379a93b8c92da59288bb32aac,1
001,134217728,128.0,hybrid,full,2,63.874834,1,51412,1.066833,9,0,0,0,1,160.615042,174.049834,9504008,9504008,4,1243721,0,13,674b5953d818f69737696a560f472bb635c9f14379a93b8c92da59288bb32aac,1
001,134217728,128.0,regular,full,2,62.198667,1,44531,1.069792,9,0,0,0,1,150.829792,163.459708,9504008,9504008,10,1243457,0,10,674b5953d818f69737696a560f472bb635c9f14379a93b8c92da59288bb32aac,1
001,0,0.0,regular,full,2,24.562666,1,44531,0.448125,9,0,0,0,1,70.926959,77.27775,9504008,9504008,10,1243457,0,10,674b5953d818f69737696a560f472bb635c9f14379a93b8c92da59288bb32aac,1
001,0,0.0,hybrid,full,2,60.704833,1,51412,1.080375,9,0,0,0,1,118.512,130.307083,9504008,9504008,4,1243721,0,13,674b5953d818f69737696a560f472bb635c9f14379a93b8c92da59288bb32aac,1
002,0,0.0,regular,full,2,63.368833,1,44531,1.210833,9,0,0,0,1,149.519541,167.483666,9504008,9504008,10,1243457,0,10,674b5953d818f69737696a560f472bb635c9f14379a93b8c92da59288bb32aac,1
002,0,0.0,hybrid,full,2,60.836958,1,51412,1.071125,9,0,0,0,1,130.676958,143.156125,9504008,9504008,4,1243721,0,13,674b5953d818f69737696a560f472bb635c9f14379a93b8c92da59288bb32aac,1
002,134217728,128.0,hybrid,full,2,14.956417,1,51412,0.635375,9,0,0,0,1,83.13275,92.063625,9504008,9504008,4,1243721,0,13,674b5953d818f69737696a560f472bb635c9f14379a93b8c92da59288bb32aac,1
002,134217728,128.0,regular,full,2,59.461167,1,44531,0.475917,9,0,0,0,1,143.669125,156.937542,9504008,9504008,10,1243457,0,10,674b5953d818f69737696a560f472bb635c9f14379a93b8c92da59288bb32aac,1
003,134217728,128.0,hybrid,full,2,63.581292,1,51412,1.720375,9,0,0,0,1,168.19925,183.607417,9504008,9504008,4,1243721,0,13,674b5953d818f69737696a560f472bb635c9f14379a93b8c92da59288bb32aac,1
003,134217728,128.0,regular,full,2,67.557042,1,44531,1.574584,9,0,0,0,1,156.251958,173.885625,9504008,9504008,10,1243457,0,10,674b5953d818f69737696a560f472bb635c9f14379a93b8c92da59288bb32aac,1
003,0,0.0,regular,full,2,47.662916,1,44531,0.580958,9,0,0,0,1,114.840625,127.257375,9504008,9504008,10,1243457,0,10,674b5953d818f69737696a560f472bb635c9f14379a93b8c92da59288bb32aac,1
003,0,0.0,hybrid,full,2,63.533792,1,51412,1.800625,9,0,0,0,1,133.765584,148.171917,9504008,9504008,4,1243721,0,13,674b5953d818f69737696a560f472bb635c9f14379a93b8c92da59288bb32aac,1
004,0,0.0,regular,full,2,63.190958,1,44531,1.5865,9,0,0,0,1,140.933666,158.90525,9504008,9504008,10,1243457,0,10,674b5953d818f69737696a560f472bb635c9f14379a93b8c92da59288bb32aac,1
004,0,0.0,hybrid,full,2,60.840166,1,51412,1.0025,9,0,0,0,1,114.213459,126.529375,9504008,9504008,4,1243721,0,13,674b5953d818f69737696a560f472bb635c9f14379a93b8c92da59288bb32aac,1
004,134217728,128.0,hybrid,full,2,25.287333,1,51412,0.524083,9,0,0,0,1,76.917708,84.0355,9504008,9504008,4,1243721,0,13,674b5953d818f69737696a560f472bb635c9f14379a93b8c92da59288bb32aac,1
004,134217728,128.0,regular,full,2,62.390334,1,44531,1.001458,9,0,0,0,1,153.800958,172.307916,9504008,9504008,10,1243457,0,10,674b5953d818f69737696a560f472bb635c9f14379a93b8c92da59288bb32aac,1
