repetition,cache_bytes,cache_mib,layout,mode,workload,pass_index,cache_condition,requested_units,selected_instance_rows,logical_bytes,read_ms,wall_ms,p50_unit_ms,p95_unit_ms,max_unit_ms,storage_frames_per_second,file_reads,file_batch_reads,file_bytes,cache_hits,cache_misses,cache_evictions,value_digest
000,0,0.0,regular,full,random_frames_contract,0,workload_first_pass_shared_process_cache,128,128,8704,4127.32357000001,4128.303459,7.548914999999999,162.251373,312.136166,,1024,896,371709109,0,1024,0,2088661f75d94debeaef555365c9e793af09792fb6608d149414af8d76b42ecb
000,0,0.0,regular,full,random_frames_contract,1,workload_immediate_repeat_shared_process_cache,128,128,8704,1627.673134999999,1627.924791,5.579665000000001,50.559374000000005,69.600375,,1024,896,371709109,0,1024,0,2088661f75d94debeaef555365c9e793af09792fb6608d149414af8d76b42ecb
000,0,0.0,regular,full,random_frames_ui,0,workload_first_pass_shared_process_cache,128,128,3072,1412.7273739999991,1413.20175,2.178,62.729083,135.925124,,384,256,60605555,0,384,0,05862f9493d6a8dbad4e24db20ad6263d3cf51fc266fc64ce3e3550f166ac06b
000,0,0.0,regular,full,random_frames_ui,1,workload_immediate_repeat_shared_process_cache,128,128,3072,215.49179199999992,215.573,1.7076259999999999,1.831459,1.911292,,384,256,60605555,0,384,0,05862f9493d6a8dbad4e24db20ad6263d3cf51fc266fc64ce3e3550f166ac06b
000,0,0.0,regular,full,random_ranges_contract,0,workload_first_pass_shared_process_cache,64,2048,139264,1183.3468330000007,1183.920125,5.495582,36.388166999999996,284.720792,,512,448,181037202,0,512,0,22eed604776c14ca9b08375c6d812b383c580f0bcc4fb64bc3f921d96c4d7120
000,0,0.0,regular,full,random_ranges_contract,1,workload_immediate_repeat_shared_process_cache,64,2048,139264,1177.0324180000002,1177.581,9.843959,46.006292,131.827335,,512,448,181037202,0,512,0,22eed604776c14ca9b08375c6d812b383c580f0bcc4fb64bc3f921d96c4d7120
000,0,0.0,regular,full,sequential_contract_forward,0,workload_first_pass_shared_process_cache,1698,1187087,80721916,18585.522968000096,18800.614708,5.1946650000000005,37.697041999999996,239.378914,63920.7194785671,13659,11957,4857414205,0,13659,0,b021cb12a40e37e28466406b6aff96023c9bd85a524242b5d24d83f31719746e
000,0,0.0,regular,full,sequential_contract_forward,1,workload_immediate_repeat_shared_process_cache,1698,1187087,80721916,11660.923589000009,11831.209208,5.086249,6.58775,335.17420799999996,101878.72263571515,13659,11957,4857414205,0,13659,0,b021cb12a40e37e28466406b6aff96023c9bd85a524242b5d24d83f31719746e
000,0,0.0,regular,full,sequential_ui_forward,0,workload_first_pass_shared_process_cache,1698,1187087,28490088,3518.585836000001,3581.545625,1.708833,1.9445,39.838334,337635.6455042581,5120,3418,784102020,0,5120,0,96d9ae52d98e3f544c9accc67b7f2acc8506daa6e5c3147b17d9a7c0c4735670
000,0,0.0,regular,full,sequential_ui_forward,1,workload_immediate_repeat_shared_process_cache,1698,1187087,28490088,3607.4559369999993,3670.103042,1.725416,1.951458,38.610583000000005,329317.951694222,5120,3418,784102020,0,5120,0,96d9ae52d98e3f544c9accc67b7f2acc8506daa6e5c3147b17d9a7c0c4735670
000,0,0.0,regular,full,sequential_ui_reverse,0,workload_first_pass_shared_process_cache,1698,1187087,28490088,3157.3861260000153,3218.057083,1.738,1.9489180000000002,28.772625,376260.60056995205,5120,3418,784102020,0,5120,0,7a015f92bb3966c236ec8d43bb120b56847634356a809923c86a20f58f29ad5e
000,0,0.0,regular,full,sequential_ui_reverse,1,workload_immediate_repeat_shared_process_cache,1698,1187087,28490088,3189.439782,3249.624208,1.736959,1.940208,17.060375,372479.2067574455,5120,3418,784102020,0,5120,0,7a015f92bb3966c236ec8d43bb120b56847634356a809923c86a20f58f29ad5e
000,0,0.0,hybrid,full,random_frames_contract,0,workload_first_pass_shared_process_cache,128,128,8704,5503.4099680000045,5506.839875,20.050625,81.26558200000001,691.5188730000001,,1920,1792,48070727,0,3072,0,2088661f75d94debeaef555365c9e793af09792fb6608d149414af8d76b42ecb
000,0,0.0,hybrid,full,random_frames_contract,1,workload_immediate_repeat_shared_process_cache,128,128,8704,186.71300000000005,187.046125,1.2430430000000001,2.936043,4.188250000000001,,1920,1792,48070727,0,3072,0,2088661f75d94debeaef555365c9e793af09792fb6608d149414af8d76b42ecb
000,0,0.0,hybrid,full,random_frames_ui,0,workload_first_pass_shared_process_cache,128,128,3072,2018.3806209999998,2019.939166,14.716625,31.003792,198.648084,,640,512,8105650,0,1152,0,05862f9493d6a8dbad4e24db20ad6263d3cf51fc266fc64ce3e3550f166ac06b
